user_id,navigation_nps,started_survey,edited_survey,published_nps
255,2022-01-19 18:45:23.127,,,
256,2022-01-27 03:10:09.431,,,
257,2022-05-16 06:52:25.467,,2022-12-06 19:38:49.638,
258,2022-02-11 15:54:42.086,,,
259,2022-01-13 18:45:13.849,,2022-10-13 01:03:25.867,
260,2022-12-13 04:01:19.396,,,
261,2022-12-13 22:34:49.485,,,
262,2022-02-20 03:01:33.772,,,
263,2022-05-19 16:51:39.262,,,
264,2022-01-20 00:28:45.100,,2022-06-22 21:33:04.415,
265,2022-01-12 17:47:33.559,,,
266,2022-04-19 13:10:57.465,,,
267,2022-01-05 15:29:07.954,,,
268,2022-01-06 01:11:53.070,,,
269,2022-01-02 09:40:45.623,,2022-02-21 12:15:31.052,
270,2022-01-05 10:16:49.201,,2022-01-11 20:09:03.200,2022-05-16 11:04:44.521
271,2022-04-29 14:57:01.947,2022-04-29 14:58:39.077,2022-04-29 14:58:39.079,
272,2022-03-04 12:44:12.388,,,
273,2022-12-21 17:15:28.973,,,
274,2022-01-03 15:09:55.857,,2022-04-27 01:09:23.140,
275,2022-02-03 15:43:09.834,,,
276,2022-02-07 07:57:37.956,,,
277,2022-12-19 20:43:15.899,,,
278,2022-01-21 14:43:20.242,,,
279,2022-12-14 21:43:00.716,,,
280,2022-03-28 23:31:56.588,,,
281,2022-02-07 17:17:30.824,2022-06-07 10:12:20.716,2022-06-07 10:12:20.716,
282,2022-05-13 11:57:27.524,,2022-05-13 11:57:44.975,
283,2022-03-10 22:29:19.688,,,
284,2022-01-26 11:34:01.609,,,
285,2022-04-27 08:57:31.041,,,
286,2022-12-21 07:58:21.432,,2022-12-21 07:58:23.502,
287,2022-01-03 01:41:29.465,,2022-12-13 01:50:24.105,
288,2022-01-28 04:54:26.761,,2022-08-08 17:20:43.518,
289,2022-05-05 10:52:21.998,,,
290,2022-05-30 17:43:54.561,,2022-05-30 17:44:22.311,
291,2022-01-19 12:38:50.932,,2022-01-19 12:43:55.420,
292,2022-05-27 16:38:21.050,,,
293,2022-01-05 22:37:24.085,,2022-01-14 13:00:15.294,
294,2022-05-04 20:23:57.287,2022-05-04 20:24:12.568,2022-05-04 20:24:12.572,
295,2022-01-18 22:35:03.668,,,
296,2022-05-05 06:25:33.537,2022-05-05 06:36:30.533,2022-05-05 06:36:30.534,
297,2022-02-22 16:47:02.756,,2022-02-22 16:54:42.437,
298,2022-05-26 20:51:36.912,,,
299,2022-02-22 18:16:12.279,,2022-02-23 17:39:02.055,
300,2022-02-07 14:00:51.427,,,
301,2022-01-06 17:43:50.018,,2022-03-24 17:59:15.379,
302,2022-12-12 16:19:48.446,2022-12-12 16:50:00.087,2022-12-12 16:50:00.115,
303,2022-03-24 16:07:32.323,,,
304,2022-02-09 20:28:19.119,,2022-04-25 21:34:31.465,
305,2022-05-20 13:30:29.913,,,
306,2022-02-10 10:27:23.715,,,
307,2022-04-18 10:36:05.803,,2022-11-22 05:08:32.810,
308,2022-01-11 14:25:37.045,2022-11-29 13:37:02.888,2022-11-29 13:37:02.937,
309,2022-05-09 16:34:17.224,,,
310,2022-03-29 16:53:14.227,,,
311,2022-02-23 15:23:49.609,,,
312,2022-01-07 13:35:38.307,,,
313,2022-01-20 08:39:05.868,,,
314,2022-04-22 07:24:01.377,,2022-11-17 10:30:58.186,
315,2022-04-22 15:49:28.800,,2022-04-22 15:49:36.361,
316,2022-03-11 10:02:27.473,,,
317,2022-04-26 08:22:04.622,,,
318,2022-02-10 12:55:34.508,,,
319,2022-03-16 13:29:35.849,,2022-03-16 13:29:44.056,2022-03-16 13:45:00.307
320,2022-03-16 10:44:27.197,,,
321,2022-05-23 09:07:26.130,,,
322,2022-03-04 21:59:34.646,2022-03-04 21:59:40.933,2022-03-04 21:59:40.935,2022-03-04 22:01:24.359
323,2022-05-30 14:51:26.834,,,
324,2022-05-04 08:49:32.770,,,
325,2022-01-24 18:26:48.505,,,
326,2022-12-12 21:28:28.625,,,
327,2022-01-06 13:23:05.251,,,
328,2022-01-04 20:18:54.334,,,
329,2022-12-12 09:09:05.575,,2022-12-12 09:09:14.229,
330,2022-02-15 05:32:31.139,,2022-04-05 06:26:52.907,
331,2022-01-28 21:57:58.738,,,
332,2022-05-10 12:47:02.315,,2022-05-10 12:50:09.418,2022-05-10 12:57:35.430
333,2022-01-12 03:59:35.468,,2022-05-23 14:52:17.115,
334,2022-03-31 20:13:42.068,,,
335,2022-05-10 20:49:41.347,2022-05-10 20:49:44.047,2022-05-10 20:49:44.053,
336,2022-02-03 10:27:34.305,,2022-05-25 09:50:42.145,2022-05-30 10:56:53.936
337,2022-01-06 12:32:19.920,,,
338,2022-12-14 16:06:26.890,,,
339,2022-02-14 18:12:19.247,,,
340,2022-01-05 17:46:34.152,,,
341,2022-01-18 10:53:11.352,2022-01-18 10:53:16.379,2022-01-18 10:53:16.429,
342,2022-06-07 18:32:29.798,,,
343,2022-02-01 12:20:16.783,,,
344,2022-02-08 22:48:04.658,,,
345,2022-02-14 21:34:34.907,,,
346,2022-03-09 07:25:21.338,,,
347,2022-01-07 03:33:03.443,,,
348,2022-05-05 17:49:55.389,,,
349,2022-03-31 09:01:02.396,,2022-04-04 10:22:17.139,
350,2022-03-14 16:53:32.939,,,
351,2022-01-17 08:50:43.874,,,
352,2022-01-21 13:09:50.311,,,
353,2022-12-19 08:47:16.499,,,
354,2022-01-21 02:02:59.005,,2022-02-07 22:25:05.464,
355,2022-12-14 19:10:52.887,,,
356,2022-12-13 12:56:15.969,,,
357,2022-02-07 16:04:35.754,,2022-02-07 16:04:41.466,
358,2022-12-15 14:51:57.045,,,
359,2022-04-26 14:58:25.596,,,
360,2022-05-19 18:23:42.657,,,
361,2022-03-28 23:40:34.635,,,
362,2022-02-01 19:54:45.365,,2022-02-01 19:54:52.777,
363,2022-04-21 17:23:03.088,,2022-10-06 14:52:20.381,
364,2022-01-04 09:34:52.796,,2022-06-03 13:36:22.078,
365,2022-05-13 13:49:56.728,,,
366,2022-05-19 19:59:56.898,,,
